Company,File No.,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
UnitedHealthcare Insurance Company,900944,02/26/2019,03/12/2019,,,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
New York Marine and General Insurance Company,500573,02/09/2015,02/19/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
New York Marine and General Insurance Company,702434,05/24/2017,06/09/2017,General Liability,,Premium and Rating,Audit,Complaint Withdrawn,No Action Necessary,0.00,Closed
Allstate Insurance Company,804736,10/09/2018,10/30/2018,Dwelling Fire,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,900880,02/22/2019,03/12/2019,Auto,,Premium and Rating,Premium/Notice,Corrective Action,Unjustified,580.99,Closed
Allstate Fire and Casualty Insurance Company,900514,02/01/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,2485.43,Closed
Transamerica Advisors Life Insurance Company,900401,01/24/2019,03/12/2019,,,Marketing/Sales,No Coverage/Premium Paid,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",901136,03/08/2019,03/12/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
Allstate Indemnity Company,804481,09/20/2018,10/30/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Inter-Company Arbitration,Questionable,0.00,Closed
"Anthem Health Plans, Inc",900570,02/05/2019,02/27/2019,,,Marketing/Sales,No Coverage/Premium Paid,Cancellation Upheld,Furnished Information,0.00,Closed
Trumbull Insurance Company,804900,10/17/2018,10/30/2018,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
USAA General Indemnity Company,804878,10/17/2018,10/30/2018,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,27395.23,Closed
Progressive Direct Insurance Company,804698,10/04/2018,10/30/2018,,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Patrons Mutual Insurance Company of Connecticut,900673,02/11/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
NGM Insurance Company,405967,12/04/2014,01/26/2015,Worker's Compensation,,Marketing/Sales,Failed to Remit Premium,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,500921,02/26/2015,03/17/2015,Auto,,Underwriting,Cancellation,Cancellation Withdrawn,Justified,0.00,Closed
NGM Insurance Company,500921,02/26/2015,03/17/2015,Auto,,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,2913.00,Closed
NGM Insurance Company,501061,03/06/2015,04/09/2015,Dwelling Fire,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,502006,04/29/2015,08/11/2015,Auto Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
NGM Insurance Company,502068,05/04/2015,08/17/2015,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
NGM Insurance Company,502315,05/18/2015,06/03/2015,Homeowners,,Premium and Rating,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,502823,06/17/2015,07/14/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
NGM Insurance Company,502958,06/25/2015,07/27/2015,Worker's Compensation,,Underwriting,Refusal to Insure,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,503134,07/08/2015,07/27/2015,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
NGM Insurance Company,504190,09/09/2015,02/22/2016,General Liability,,Other,No Subreason,Record Only,Furnished Information,0.00,Closed
NGM Insurance Company,504431,09/25/2015,11/13/2015,Auto Liability,,Unfair Claims Practice,Loss of Use,Claim Settled,Questionable,0.00,Closed
NGM Insurance Company,504906,10/23/2015,11/10/2015,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Inter-Company Arbitration,Unjustified,0.00,Closed
NGM Insurance Company,504967,10/29/2015,11/18/2015,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Contract Provision,Unjustified,0.00,Closed
NGM Insurance Company,600732,02/18/2016,03/16/2016,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
NGM Insurance Company,600941,02/26/2016,03/10/2016,Farmowners,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
NGM Insurance Company,601146,03/11/2016,03/24/2016,Worker's Compensation,,Underwriting,Other [Enter Sub-Reason],Record Only,Furnished Information,0.00,Closed
NGM Insurance Company,601398,03/23/2016,03/24/2016,General Liability,,Underwriting,Other [Enter Sub-Reason],Record Only,Furnished Information,0.00,Closed
NGM Insurance Company,602354,05/24/2016,07/05/2016,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
NGM Insurance Company,603127,07/11/2016,08/18/2016,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,604221,09/12/2016,10/05/2016,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,1019.52,Closed
NGM Insurance Company,605094,11/07/2016,11/25/2016,Commercial Auto,,Underwriting,Cancellation,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,701016,03/01/2017,03/16/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,2574.20,Closed
NGM Insurance Company,701951,04/25/2017,08/01/2017,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,702716,06/12/2017,06/27/2017,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
NGM Insurance Company,702829,06/19/2017,07/25/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
NGM Insurance Company,702829,06/19/2017,07/25/2017,Auto Liability,,Unfair Claims Practice,Loss of Use,Corrective Action,Justified,330.00,Closed
NorGUARD Insurance Company,701628,04/04/2017,04/27/2017,Worker's Compensation,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Nationwide Property & Casualty Insurance Company,803981,08/22/2018,09/14/2018,Homeowners,,Underwriting,Non-Renewal,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,803829,08/14/2018,09/14/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Claim Settled,Questionable,0.00,Closed
North American Company for Life & Health Insurance,500001,01/02/2015,01/28/2015,Individual Life,Term Life,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,502631,06/04/2015,07/13/2015,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,503551,08/03/2015,08/25/2015,Individual Life,Universal Life,Marketing/Sales,Misleading Advertising,Contract Provision,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,600525,02/04/2016,03/09/2016,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,602020,05/02/2016,05/16/2016,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,603161,07/11/2016,08/09/2016,Individual Annuity,Term Life,Premium and Rating,Premium/Notice,Corrective Action,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,605003,11/02/2016,11/23/2016,Individual Life,Universal Life,Underwriting,Refusal to Insure,Contract Provision,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,700693,02/10/2017,03/01/2017,Individual Life,Universal Life,Marketing/Sales,No Coverage/Premium Paid,Contract Provision,Unjustified,0.00,Closed
North American Company for Life & Health Insurance,703141,07/10/2017,07/26/2017,Individual Life,Whole Life,Unfair Claims Practice,Claim Delays,Corrective Action,Unjustified,4809.24,Closed
North Light Specialty Insurance Company,601803,04/18/2016,04/22/2016,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Nationwide Mutual Fire Insurance Company,502861,06/19/2015,07/21/2015,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,803501,07/30/2018,09/14/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Northland Insurance Company,505425,12/01/2015,12/18/2015,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
Northland Insurance Company,604104,09/01/2016,09/21/2016,Commercial Auto,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Justified,0.00,Closed
Northland Insurance Company,605522,12/02/2016,01/03/2017,Commercial Auto,,Underwriting,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
Northwestern Long Term Care Insurance Company,603470,07/28/2016,08/16/2016,Individual Long Term Care,Partnership,Premium and Rating,Premium Refund Delay,Furnished Information,Furnished Information,0.00,Closed
Globe Life and Accident Insurance Company,804784,10/11/2018,10/30/2018,Group Life,Term Life,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
CSAA General Insurance Company,900964,02/27/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Northwestern Mutual Life Insurance Company,500829,02/20/2015,03/10/2015,Individual Life,Whole Life,Marketing/Sales,Policy Service,Corrective Action,Justified,0.00,Closed
Northwestern Mutual Life Insurance Company,502125,05/06/2015,05/12/2015,Individual Life,Whole Life,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
Northwestern Mutual Life Insurance Company,600016,01/05/2016,01/22/2016,Individual Life,Whole Life,Marketing/Sales,Producer Handling,Corrective Action,Voluntary Reconsider,10030.83,Closed
Northwestern Mutual Life Insurance Company,601360,03/22/2016,04/12/2016,Individual Life,Whole Life,Marketing/Sales,Producer Handling,Corrective Action,Unjustified,0.00,Closed
Northwestern Mutual Life Insurance Company,601642,04/07/2016,04/22/2016,Individual Life,Whole Life,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
Northwestern Mutual Life Insurance Company,601807,04/19/2016,04/20/2016,Individual Life,Whole Life,Underwriting,Refusal to Insure,Company Position Upheld,Unjustified,0.00,Closed
Northwestern Mutual Life Insurance Company,604462,09/26/2016,10/21/2016,Individual Life,Whole Life,Marketing/Sales,Policy Service,Corrective Action,Unjustified,0.00,Closed
Northwestern Mutual Life Insurance Company,702017,04/28/2017,05/18/2017,Individual Life,Whole Life,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,805745,12/11/2018,01/02/2019,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
ConnectiCare Inc,804823,10/12/2018,10/30/2018,,,Utilization Review,Medical Necessity,Furnished Information,Furnished Information,0.00,Closed
Ohio Mutual Insurance Company,501867,04/22/2015,05/22/2015,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Claim Settled,Unjustified,0.00,Closed
Ohio Mutual Insurance Company,501867,04/22/2015,05/22/2015,Auto Liability,,Unfair Claims Practice,Loss of Use,Claim Settled,Unjustified,0.00,Closed
Ohio Mutual Insurance Company,503937,08/25/2015,09/15/2015,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Ohio Mutual Insurance Company,701962,04/26/2017,05/18/2017,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Ohio Mutual Insurance Company,702459,05/24/2017,06/15/2017,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Century-National Insurance Company,804084,08/27/2018,09/14/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Ohio National Life Insurance Company,502581,06/03/2015,07/13/2015,Individual Life,Whole Life,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
Ohio Security Insurance Company,503771,08/14/2015,09/01/2015,Commercial Multi-Peril,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Ohio Security Insurance Company,600595,02/09/2016,03/24/2016,General Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,8971.72,Closed
Ohio Security Insurance Company,601622,04/05/2016,04/27/2016,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Enter Arbitration,Unjustified,0.00,Closed
Ohio Security Insurance Company,602786,06/17/2016,06/29/2016,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Ohio Security Insurance Company,604218,09/12/2016,09/30/2016,Commercial Multi-Peril,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Ohio Security Insurance Company,700462,01/27/2017,02/23/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Ohio Security Insurance Company,700887,02/22/2017,03/20/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Ohio Security Insurance Company,702512,05/30/2017,07/17/2017,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
Old American Insurance Company,503178,07/10/2015,07/27/2015,Individual Life,Whole Life,Premium and Rating,Premium Refund Delay,Contract Provision,Unjustified,0.00,Closed
Old American Insurance Company,600017,01/05/2016,01/14/2016,Individual Life,Other,Marketing/Sales,Misleading Advertising,Contract Provision,Unjustified,0.00,Closed
Old Dominion Insurance Company,701748,04/12/2017,04/28/2017,Auto,,Premium and Rating,Excessive Charges,Corrective Action,Justified,0.00,Closed
"Oxford Health Plans (CT), Inc",900704,02/13/2019,03/12/2019,Group Health,Behavl Hlth/Subst Abuse,Utilization Review,Medical Necessity,Extl Rev Info Sent/SF,Furnished Information,0.00,Closed
Old Republic Insurance Company,500885,02/25/2015,04/01/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,No Cause For Action,No Action Necessary,0.00,Closed
Old Republic Life Insurance Company,604371,09/20/2016,10/27/2016,Individual Life,Term Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
Old Republic Life Insurance Company,604521,09/29/2016,10/26/2016,Group/Association Trust,Term Life,Marketing/Sales,Policy Service,Company Position Upheld,Unjustified,0.00,Closed
Old Republic National Title Insurance Company,604607,10/05/2016,10/25/2016,Title Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,803829,08/14/2018,09/14/2018,,,Unfair Claims Practice,Denial of Claim,Claim Settled,Questionable,0.00,Closed
Omni Indemnity Company,501846,04/21/2015,04/29/2015,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Claim Settled,Unjustified,1576.79,Closed
Omni Indemnity Company,600737,02/18/2016,03/15/2016,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Additional Money Received,Unjustified,419.90,Closed
Nationwide Mutual Fire Insurance Company,502861,06/19/2015,07/21/2015,Homeowners,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
Omni Indemnity Company,701866,04/19/2017,05/12/2017,Auto,,Premium and Rating,Excessive Charges,Furnished Information,Furnished Information,0.00,Closed
Amica Mutual Insurance Company,804107,08/29/2018,09/14/2018,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Kemper Independence Insurance Company,900578,02/05/2019,03/12/2019,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Additional Money Received,Questionable,296.00,Closed
Transamerica Life Insurance Company,805745,12/11/2018,01/02/2019,Individual Long Term Care,Long Term Individual,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
Spirit Commercial Auto Risk Retention Group Inc.,804216,09/05/2018,09/14/2018,Auto Liability,,Unfair Claims Practice,Loss of Use,Policy not written in CT,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900921,02/25/2019,03/12/2019,Group Health,No SubCov - AH,Premium and Rating,Premium/Notice,Company Position Upheld,Furnished Information,0.00,Closed
RepWest Insurance Company,803942,08/20/2018,09/14/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Colonial Life & Accident Insurance Company,804071,08/27/2018,09/14/2018,Group Disability Income,No SubCov - AH,Marketing/Sales,Failed to Remit Premium,Pol Restored/Reinstated,Justified,0.00,Closed
"Anthem Health Plans, Inc",804143,08/29/2018,09/14/2018,Group Health,Radiology,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",804172,08/31/2018,09/14/2018,Individual Health,Cancer Related,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
GEICO General Insurance Company,803871,08/16/2018,09/14/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
United Services Automobile Association,805681,12/06/2018,01/02/2019,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900954,02/26/2019,03/12/2019,Dental,Dental,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
AXA Equitable Life Insurance Company,803956,08/21/2018,09/14/2018,Individual Annuity,IRA,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,805741,12/11/2018,01/02/2019,Individual Annuity,Variable Annuity,Marketing/Sales,Policy Service Delay,Furnished Information,Unjustified,0.00,Closed
Nationwide Property & Casualty Insurance Company,803981,08/22/2018,09/14/2018,,,Underwriting,Non-Renewal,Company Position Upheld,Unjustified,0.00,Closed
American Family Life Assurance Company of New York,804124,08/29/2018,09/14/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Settled,Furnished Information,1500.00,Closed
Liberty Insurance Corporation,803940,08/20/2018,09/14/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Century-National Insurance Company,804084,08/27/2018,09/14/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
RiverSource Life Insurance Company,804702,10/04/2018,10/30/2018,Individual Life,Whole Life,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,0.00,Closed
Omni Insurance Company,500324,01/28/2015,02/13/2015,Auto Liability,,Unfair Claims Practice,Subrogation,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,500776,02/19/2015,02/27/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Omni Insurance Company,501334,03/23/2015,04/27/2015,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,501802,04/17/2015,05/11/2015,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,501840,04/21/2015,05/11/2015,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
Omni Insurance Company,502042,05/01/2015,05/27/2015,Auto Liability,,Unfair Claims Practice,Subrogation,Corrective Action,Justified,1924.63,Closed
Omni Insurance Company,502909,06/23/2015,09/10/2015,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,356.91,Closed
Omni Insurance Company,503305,07/16/2015,08/03/2015,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,503340,07/20/2015,08/12/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,503398,07/22/2015,08/24/2015,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Omni Insurance Company,503807,08/18/2015,09/10/2015,Auto,,Premium and Rating,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,504241,09/14/2015,10/01/2015,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,504400,09/23/2015,10/28/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,504696,10/13/2015,11/02/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Omni Insurance Company,504877,10/22/2015,12/03/2015,Auto,,Premium and Rating,Premium/Notice,Premium Refund,Justified,53.75,Closed
Omni Insurance Company,600003,01/04/2016,02/01/2016,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
Omni Insurance Company,601144,03/11/2016,04/01/2016,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Additional Money Received,Unjustified,0.00,Closed
Omni Insurance Company,601298,03/18/2016,04/06/2016,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,602001,04/28/2016,06/06/2016,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Additional Money Received,Justified,2354.24,Closed
Omni Insurance Company,602485,05/31/2016,06/10/2016,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,602837,06/21/2016,07/11/2016,Auto Liability,,Unfair Claims Practice,Loss of Use,Claim Settled,Justified,606.14,Closed
Omni Insurance Company,602917,06/24/2016,07/15/2016,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Omni Insurance Company,602935,06/27/2016,07/06/2016,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,603343,07/21/2016,08/11/2016,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Omni Insurance Company,603536,08/01/2016,08/15/2016,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,603667,08/09/2016,12/27/2016,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,603885,08/22/2016,09/14/2016,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Omni Insurance Company,604570,10/03/2016,10/19/2016,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,701093,03/06/2017,03/16/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,701433,03/23/2017,04/26/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Omni Insurance Company,701574,03/31/2017,05/12/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,2500.00,Closed
Omni Insurance Company,701957,04/26/2017,05/18/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
OneBeacon Midwest Insurance Company,501336,03/23/2015,04/23/2015,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Contract Provision,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,805261,11/07/2018,01/02/2019,,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",804867,10/16/2018,01/02/2019,Group Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Eligibility of Provider,Company Position Upheld,Furnished Information,0.00,Closed
MedAmerica Insurance Company,900018,01/02/2019,01/02/2019,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Travelers Home and Marine Insurance Company (The),805306,11/09/2018,01/02/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Unjustified,5837.11,Closed
Trumbull Insurance Company,804079,08/27/2018,09/14/2018,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
GEICO General Insurance Company,803871,08/16/2018,09/14/2018,Auto Liability,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,805334,11/13/2018,01/02/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Liberty Insurance Corporation,804828,10/12/2018,10/31/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",804876,10/16/2018,10/31/2018,Exchange-Individual Hlth,Colonoscopy,Unfair Claims Practice,Eligibility of Provider,Coverage Granted,Justified,649.00,Closed
"Oxford Health Insurance, Incorporated",406272,12/23/2014,02/23/2015,Group Health,Out-Patient,Unfair Claims Practice,Claim Procedure,Claim Paid With Interest,Justified,3310.55,Closed
"Oxford Health Insurance, Incorporated",500273,01/22/2015,02/09/2015,Group Health,Specialized Formula/Food,Utilization Review,Contract Provision,Claim Settled,Questionable,0.00,Closed
"Oxford Health Insurance, Incorporated",501190,03/12/2015,03/25/2015,Group Health,MRI,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,805909,12/21/2018,01/02/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Golden Rule Insurance Company,804871,10/16/2018,10/31/2018,Vision,No SubCov - AH,Underwriting,Cancellation,Premium Refund,Voluntary Reconsider,54.00,Closed
"Oxford Health Insurance, Incorporated",501289,03/18/2015,10/16/2015,Group Health,Emergency,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Voluntary Reconsider,450.00,Closed
"Oxford Health Insurance, Incorporated",501826,04/20/2015,05/06/2015,Group Health,Prescription,Utilization Review,Case Management,External Review Info Sent,Furnished Information,0.00,Closed
"Oxford Health Insurance, Incorporated",502015,04/30/2015,05/12/2015,Group Health,Other,Unfair Claims Practice,Claim Procedure,Provider Issue,Furnished Information,0.00,Closed
"Oxford Health Insurance, Incorporated",502143,05/07/2015,06/03/2015,Group Health,In-Patient,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Voluntary Reconsider,2844.50,Closed
"Oxford Health Insurance, Incorporated",502889,06/22/2015,08/03/2015,Group/Association Trust,Radiology,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Justified,3034.48,Closed
"Oxford Health Insurance, Incorporated",502982,06/29/2015,07/15/2015,Group Health,Prescription,Utilization Review,Case Management,Coverage Granted,Furnished Information,0.00,Closed
"Oxford Health Insurance, Incorporated",503439,07/24/2015,08/11/2015,Group Health,Colonoscopy,Unfair Claims Practice,CPT Code Issue,Claim Settled,Questionable,3000.00,Closed
"Oxford Health Insurance, Incorporated",503473,07/28/2015,01/11/2016,Group Health,Prescription,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
